Record Number~Publication Info.~Call No.~Horizon checkouts~Old in-house uses~Checkout Date~Standard No.~Title~CNY
i12517124~Los Angeles, CA : Swindle Quarterly ; Corte Madera, CA : Book distribution by Gingko Press, c2004-~306.0973 S978~~~  -  -    ~~Swindle quarterly~
i12517197~New Haven ; London : Yale University Press, 1999, 1997.~306 R438~~~  -  -    ~300078544~Rethinking visual anthropology / edited by Marcus Banks and Howard Morphy.~
i12517331~New York, N.Y. : Palgrave for St. Martin's Press, 2001.~363.46 B163~~~  -  -    ~0312239254;9780312239251~Targets of hatred : anti-abortion terrorism / Patricia Baird-Windle and Eleanor J. Bader.~
i12519108~Cambridge, MA : South End Press, 1983.~339.46 S782~~~  -  -    ~0896081974 (pbk.);9780896081970 (pbk.)~Poverty in the American dream : women & children first / by Karin Stallard, Barbara Ehrenreich, Holly Sklar.~
i12519224~Chichester, West Sussex : John Wiley & Sons, 2013.~320.43 C737~~~  -  -    ~9781405198585 (hardback : alk. paper);1405198583 (hardback : alk. paper)~A companion to ancient Greek government / edited by Hans Beck.~
i12519868~Chichester, UK ; Malden, MA : Wiley-Blackwell, a John Wiley & Sons, Ltd., Publication, 2013.~304.23 G345~~~  -  -    ~9781118589854 (pbk.);1118589858 (pbk.)~Geography and ethnography : perceptions of the world in pre-modern societies / edited by Kurt A. Raaflaub and Richard J.A. Talbert.~
i1252024x~New York City : Granary Books : Distributed to the trade by D.A.P./Distributed Art Publishers, 2005.~094.4 B855~~~  -  -    ~1887123717 (alk. paper)~No longer innocent : book art in America : 1960-1980 / Betty Bright.~
i12521899~New York : P. Lang, c2006.~370.115 F786~~~  -  -    ~0820481505;9780820481500~A curriculum of difficulty : narrative research in education and the practice of teaching / Leah C. Fowler.~
i12522247~Newbury Park, Calif. : Sage Publications, c1993.~302.2 R562~~~  -  -    ~0803947534 (cl);9780803947535 (cl);0803947542 (pb);9780803947542 (pb)~Narrative analysis / Catherine Kohler Riessman.~
i12522600~Boston : Allyn and Bacon, c2004.~371.926 S644~~~  -  -    ~0205319521;9780205319527~Learning disabilities : the interaction of students, and their environments / Corinne Roth Smith.~
i12523161~New York : Teachers College Press, c2003.~371.1 N677~~~  -  -    ~0807743127 (cloth : alk. paper);9780807743126 (cloth : alk. paper);0807743119 (pbk. : alk. paper);9780807743119 (pbk. : alk. paper)~What keeps teachers going? / Sonia Nieto.~
i12523203~London ; Philadelphia : Jessica Kingsley Publishers, 2012.~344.73079 G537~~~  -  -    ~9781849058827 (pbk.);1849058822 (pbk.)~The comprehensive guide to special education law : over 400 frequently asked questions and answers every educator needs to know about the legal rights of exceptional children and their parents / George A. Giuliani.~
i12523306~New York : New York University Press, c2005.~616.8588 A939~~~  -  -    ~0814799272 (cloth : alk. paper);9780814799277 (cloth : alk. paper);0814799280 (pbk. : alk. paper);9780814799284 (pbk. : alk. paper)~Autism and the myth of the person alone / [edited] by Douglas Biklen, with Richard Attfield ... [et al.].~
i1252394x~New Haven : Yale University Press, c2012.~346.730482 S462~~~  -  -    ~9780300161199 (pbk.);0300161190 (pbk.)~The creative artist's legal guide : copyright, trademark, and contracts in film and digital media production / Bill Seiter & Ellen Seiter.~
i12525418~New York ; London : Routledge, c2007.~428.007 G982~~~  -  -    ~9780415954433 (hbk.);0415954436 (hbk.);9780415954440 (pbk.);0415954444 (pbk.)~Youth learning on their own terms : creative practices and classroom teaching / Leif Gustavson.~
i12527403~Newtown, CT : Taunton Press, c2005.~684.083 W9269~~~  -  -    ~1561587494;9781561587490~Working with tablesaws / the editors of Fine Woodworking.~
i12527944~London ; New York : I.B. Tauris ; New York : Distributed in the United States and Canada by Palgrave Macmillan, 2006.~553.7 H673~~~  -  -    ~1850435936 (set);9781850435938 (set);185043445X (v. 1);9781850434450 (v. 1);1850434468 (v. 2);9781850434467 (v. 2);1850434476 (v. 3);9781850434474 (v. 3);9781850434475~A history of water.~
i12528419~London : Bloomsbury, 2013.;2013~686.2312 S257~~~  -  -    ~9781408139417 (pbk.);1408139413 (pbk.)~For the love of letterpress : a printing handbook for instructors & students / Cathie Ruggie Saunders & Martha Chiplis.~
