Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i12192089,"New Delhi : LeftWord Books, 2004.",307.77 P911,,,  -  -    ,8187496444;9788187496441,Environmentalism and the left : contemporary debates and future agendas in tribal areas / Archana Prasad.,ONLY PRATT
i12192119,"New Delhi : Ministry of Environment and Forests, Government of India, [2005?].",333.951 S446,,,  -  -    ,,Securing India's future : final technical report of the National Biodiversity Strategy and Action Plan (NBSAP) / as submitted by the technical coordinator.,ONLY PRATT
i12192193,"New York : Plenum Press, c1990.",307.121607 B828,,,  -  -    ,0306435810;9780306435812,Breaking the boundaries : a one-world approach to planning education / edited by Bishwapriya Sanyal.,X
i12192223,"New Delhi : Winrock International, c2000.",354.5 R196,,,  -  -    ,,"Old roots, new shoots : a study of joint forest management in Andhra Pradesh / by C.S. Rangachari and S.D. Mukherji.",ONLY PRATT
i12192648,"New York, Macmillan [c1968]",306.09 C232,,,  -  -    ,,"The history of popular culture to 1815, edited by Norman F. Cantor and Michael S. Werthman.",
i1219265x,"Stanford, Calif. : Stanford University Press, 1987.",321.8 H474,,,  -  -    ,0804713588;9780804713580;0804713596 (pbk.);9780804713597 (pbk.),Models of democracy / David Held.,X
i12192995,"Westport, Conn. : Praeger, 2004.",016.970004 W587,,,  -  -    ,0313319413 (alk. paper);9780313319419 (alk. paper),Bibliography of Native American bibliographies / compiled by Phillip M. White.,ONLY PRATT
i12193045,"New York, The Modern library [c1940]",321 M12A1,,,  -  -    ,,"The prince and The discourses, by Niccolo Machiavelli, with an introduction by Max Lerner.",
i12193069,"New York : Harper, 1962.",248 K47,,,  -  -    ,61301221,Works of love : some Christian reflections in the form of discourses / Translated by Howard and Edna Hong.,
i12193355,"Princeton, Pyne Press, 1971.",694 C297A,,,  -  -    ,0878610162;9780878610167,"The rules of work of the Carpenters' Company of the City and County of Philadelphia, 1786, with the original copper plate illustrations. Annotated, with an introd., by Charles E. Peterson.",X
i12193495,"London : Pan, 2005.",229.8 P133B,,,  -  -    ,0330431978 (pbk.);9780330431972 (pbk.),Beyond belief : the secret gospel of Thomas / Elaine Pagels.,ONLY PRATT
i12193574,"New York, Harper & Row [1970]",322.42 M932,,,  -  -    ,,"Peasant uprisings in seventeenth-century France, Russia, and China. Translated from the French by Brian Pearce.",
i12196708,"New York, Bonanza/Macmillan, 1955.",684.08 M349,,,  -  -    ,,Fine furniture for the amateur cabinetmaker. Photography by I.B. Warner.,
i12196800,"New York : Modern Language Association of America, 1992.",428.007 W956,,,  -  -    ,0873525787 (pbk.) : $19.00;9780873525787 (pbk.);0873525779;9780873525770,"Writing, teaching, and learning in the disciplines / edited by Anne Herrington and Charles Moran.",X
i12196824,"Bloomington, Ill., McKnight & McKnight Pub. Co. [1958]",684.083 S658M3,,,  -  -    ,,Machine woodworking.,
i12196848,"New York : Prentice Hall Press, c1986.",684.083 K74,,,  -  -    ,0671613693;9780671613693,Ornamental turnery : a practical and historical approach to a centuries-old craft / Frank M. Knox ; foreword by Wilfred John Osborne.,X
i12197129,"Beverly Hills, Calif. : Bruce, 1973.",684.08 C889,,,  -  -    ,,Woodturning visualized / Ross C. Cramlet.,ONLY PRATT
i12197233,"South Brunswick, [N.J.] : A. S. Barnes 1970.",684.1 A332,,,  -  -    ,498073890,Amateur furniture construction/ by Vernon M. Albers,
i12197245,"South Brunswick, A. S. Barnes [1972]",684.1 A332A,,,  -  -    ,0498011100 $6.95,"Advanced furniture construction, by Vernon M. Albers.",X
